AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Resolute_Bay,-94.900000,74.733333,40.000000
MAARCO,54.658833,24.700333,10.000000
SMART,55.612064,24.249321,250.000000
Abu_Al_Bukhoosh,53.145833,25.495000,24.500000
Dalma,52.331667,24.502222,0.000000
Sir_Bu_Nuair,54.233333,25.216667,10.000000
Pune,73.805491,18.537255,559.000000
Nicelli_Airport,12.382417,45.426444,13.000000
Santa_Cruz_Tenerife,-16.247361,28.472528,52.000000
Moss_Landing,-121.788167,36.793133,20.000000
Zakum_Field,53.613167,24.835267,37.500000
Cape_San_Juan,-65.619900,18.384500,15.000000
Fresno_X,-119.773167,36.781733,0.000000
Sioux_Falls_X,-96.625983,43.736283,500.000000
Kapoho,-154.810806,19.516222,0.000000
Prospect_Hill,-64.695833,32.369722,63.000000
Karlsruhe,8.427900,49.093300,140.000000
Bodele,18.550000,16.883000,179.000000
Gustav_Dalen_Tower,17.466830,58.594170,25.000000
Liangning,122.701300,41.511800,15.000000
Hornsund,15.560278,77.001111,10.000000
Cairo_EMA,31.290067,30.080767,70.000000
COVE_SEAPRISM,-75.710000,36.900000,24.000000
Fort_McMurray,-111.476139,56.752306,360.000000
Elandsfontein,29.417572,-26.245342,1740.000000
OHP_OBSERVATOIRE,5.710000,43.935000,680.000000
WSTF,-106.608889,32.506389,1475.000000
Monks_Wood,-0.235211,52.402178,93.000000
Tonopah_Airport,-117.090520,38.050440,1580.000000
Caceres,-6.343467,39.478583,397.000000
Praia,-23.484000,14.947000,70.000000
MUBFS,30.366667,0.566667,1250.000000
SMART_POL,55.612064,24.249321,250.000000
Birdsville,139.345960,-25.898930,46.500000
Asia1,87.650000,43.783333,935.900000
Taihu,120.215333,31.421000,20.000000
Red_Mountain_Pass,-107.725000,37.908333,3368.000000
Asmara,38.922392,15.342864,0.000000
Dunedin,170.513644,-45.863937,43.000000
Chilbolton,-1.436980,51.144460,88.000000
Hefei,117.162222,31.904722,36.000000
Trelew,-65.308611,-43.249806,15.000000
CEILAP-RG,-69.320000,-51.600000,15.000000
Hong_Kong_PolyU,114.179722,22.303333,30.000000
DMN_Maine_Soroa,12.023067,13.216717,350.000000
Taichung,120.491330,24.106167,10.000000
ICIPE-Mbita,34.200000,-0.416700,1125.000000
Nairobi,36.865300,-1.338882,1650.000000
Kibale,30.357500,0.560450,1536.000000
Merredin,118.226389,-31.493056,315.000000
Ji_Parana_SE,-61.851517,-10.934250,218.000000
La_Paz,-68.066467,-16.539000,3439.000000
Tamanrasset_INM,5.530000,22.790000,1377.000000
Tamanrasset_TMP,5.530000,22.790000,1377.000000
USDA-BARC,-76.932180,39.031270,46.000000
Xinglong,117.578333,40.396389,970.000000
T2_MAX_MEX,-98.908800,20.010183,2542.000000
Tampico_MAX_MEX,-97.864167,22.278283,15.000000
Tudor_Hill,-64.879000,32.264000,51.000000
Veracruz_MAX_MEX,-96.186667,19.144444,10.000000
Ras_El_Ain,-7.599444,31.670278,570.000000
Lulin,120.873611,23.468611,2868.000000
EVK2-CNR,86.813333,27.958611,5050.000000
Ny_Alesund,11.860850,78.929433,46.000000
Guam,144.800783,13.430617,62.000000
Adelaide_Site_7,138.656483,-34.725067,30.000000
Gandhi_College,84.127944,25.871000,60.000000
Crete_TEI,25.100000,35.300000,122.000000
Helsinki_Lighthouse,24.926360,59.948970,20.000000
Milyering,113.923080,-22.029190,10.000000
Richland,-119.280000,46.340000,123.000000
Chapais,-74.975400,49.822433,373.440000
EPA-NCU,121.185483,24.967533,144.000000
Sevastopol,33.517333,44.615833,80.000000
Smith_Island_CBF,-76.023850,37.969183,0.000000
Niamey,2.172222,13.481389,205.000000
Brussels,4.350000,50.783332,120.000000
Muscat,58.435667,23.606383,22.000000
Lhasa,91.032917,29.645500,3690.000000
Zvenigorod,36.775000,55.695000,200.000000
Epanomi,22.978000,40.375000,20.000000
SACOL,104.137083,35.946000,1965.800000
NAM_CO,90.962450,30.772517,4740.000000
Univ_of_Houston,-95.341600,29.717700,65.000000
Al_Ain,55.705167,24.242167,283.000000
Sonmiani,66.594812,25.688867,0.000000
Mount_Chacaltaya,-68.131500,-16.350139,5233.000000
Karachi,67.030000,24.870000,49.000000
Appledore_Island,-70.615361,42.987064,35.000000
Thompson_Farm,-70.948344,43.108772,26.000000
PKU_PEK,116.184000,39.593000,66.000000
Yufa_PEK,116.184000,39.309000,20.000000
City_GZ,113.158000,23.081000,58.000000
BackGarden_GZ,113.021000,23.296000,150.000000
Singapore,103.780383,1.297667,30.000000
SQU_Oman,58.435667,23.606383,0.000000
White_Sands_HELSTF,-106.338072,32.634942,1207.240000
Huang_Shan,118.150000,30.130000,1840.000000
Frenchman_Flat,-115.934790,36.809280,940.000000
Lahore,74.324753,31.542494,270.000000
Sodankyla,26.629570,67.366620,184.000000
SANTA_CRUZ_UTEPSA,-63.200961,-17.767325,432.000000
Moved_Bac_Giang,54.658833,24.700333,10.000000
Eilat,34.917500,29.502500,15.000000
USDA-Howard,-76.877500,39.054200,52.800000
Thule,-68.769001,76.516102,225.000000
Chiang_Mai,98.986944,18.813333,324.000000
PEARL,-86.416944,80.053611,615.000000
OPAL,-85.939167,79.990278,0.000000
NASA_Ames,-122.056969,37.419986,10.000000
OK_St_Univ,-97.917340,35.045640,331.000000
Porquerolles,6.161389,43.001389,22.000000
